CID,SMILES
CID100031,CC(=C)C1CC2C(O2)(C(=O)C1)C
CID10012081,CC1([C@@H]2C[C@H]1C(=C)C(=O)C2)C
CID10015,CCCCCCC(=O)CCCCCC
CID100197,CC(=CC(C(C)(C)C=C)O)C
CID10024,CCOCOCC
CID100240,CCCOC1=NC(=CN=C1)C
CID1004,OP(=O)(O)O
CID10045,CC(C(C)(C)C)O
CID10049,C[C@]12CC[C@@H](C1(C)C)C[C@H]2O
CID100495,CCCCCOC(=O)C1=CC=CC=C1N
CID100851,CC(C(=O)O)SC
CID100927,CC1COC(O1)CCSC
CID100936,C1CCCCCC(CCCCC1)OC=O
CID100938,CC(=O)OCC1CCC(C23C14C2CC(C3)C4(C)C)(C)C
CID100939,CC1(CCC(C23C14C2CC(C4)C3(C)C)CO)C
CID100941,CC1(CCC(C23C14C2CC(C4)C3(C)C)COC=O)C
CID100968,CCCCCC1CC(=O)C=C(C1C(=O)OCC)C
CID100990,CC(C)C1=CC=C(C=C1)COC(=O)C
CID100993,CC(C)CCCCCCCCCCOC(=O)CC(C)CC(C)(C)C
CID101,C1=CC(=CC(=C1)O)C=O
CID101003,CC1=NC=CN=C1SCC2=CC=CO2
CID101004,CC1=CN=C(C=N1)SCC2=CC=CO2
CID101005,CC1=CN=CC(=N1)SCC2=CC=CO2
CID101010,CCCC1CCOC(S1)C
CID101023,CC(C)C(=O)OC(C)(C)CC1=CC=CC=C1
CID10106,CC(C)C12CCC(O1)(CC2)C
CID101080,CCCCC(=O)OCC(C)O
CID101087,CCCCCCCCC(=O)OCC(CC)CCCC
CID101115,CC1(CCCC(C1=O)(C)O)C
CID101144,CC1COC(O1)C2=CC3=C(C=C2)OCO3
CID101145,CCCCCOC(=O)C(C)O
CID101285,C1OC2=C(O1)C=C(C=C2)COC=O
CID101289859,C1=NC2=C(C(=N1)[O-])N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)[O-])O)O.[K+].[K+]
CID10129,CC1CCC2CC1C2(C)C
CID101292526,CC(CCCOC(=O)C)C1=CC=CC=C1
CID101297869,CCCCC(=O)OCCC1CCCCC1
CID101306697,C[C@@H]1CC[C@H]([C@]12CCC(=CC2)C)C(C)(C)O
CID10131025,C=CCSSSSSCC=C
CID101315,CCCCCCCOC(=O)CC1=CC=CC=C1
CID101330,C1CCC(CC1)OC(=O)C2=CC=CC=C2O
CID101338,CCCCCCCCCCCC(=O)OCC(C)C
CID101362,C=CCCC(=O)C1=CC=CC=C1
CID101363,CCCCCCCCCC(OCC)OCC
CID101364,CCCCCCCC(OCC)OCC
CID101365,CCOC(=O)C1=CC=CC=C1NC
CID10137,C[C@]12CCCC(C3[C@@H]1CCC3C2=C)(C)C
CID10149036,CC1C(=O)C2=CC=CC=C2C1(C)C
